uniprot_id,ec,organism
J7HDV0,3.6.4.12,Plasmodium falciparum
A6YJX1,3.2.1.14,Thermoascus aurantiacus var. levisporus
F9VPB8,3.6.1.43,Sulfurisphaera tokodaii
Q8EZA6,unknown,Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai
Q8U3C9,2.1.1.148,Pyrococcus furiosus
P11454,6.3.2.14,Escherichia coli
Q17ZY4,5.1.1.4,Clostridioides difficile
P9WJ61,2.5.1.153,Mycobacterium tuberculosis
Q47RJ6,3.1.1.74,Thermobifida fusca
Q97X93,unknown,Saccharolobus solfataricus
Q9XHE2,4.1.99.3,Chlamydomonas reinhardtii
Q5FQJ0,1.1.1.-,Gluconobacter oxydans
A0A0M4UW33,unknown,Streptomyces cinnamoneus
Q97WS1,unknown,Saccharolobus solfataricus
Q76DT8,7.2.2.3,Trypanosoma cruzi
Q60358,4.1.1.11,Methanocaldococcus jannaschii
Q2TPV1,3.1.1.3,Staphylococcus xylosus
Q7UIS7,unknown,Rhodopirellula baltica
Q8TGI8,3.2.1.21,Talaromyces emersonii
Q8GI14,1.18.1.2,Pseudomonas resinovorans
A9QT35,unknown,Dyella ginsengisoli
Q03084,2.4.1.303,Escherichia coli
Q49422,3.1.21.10,Mycoplasma genitalium
A2GH85,unknown,Trichomonas vaginalis
P9WG49,5.6.2.1,Mycobacterium tuberculosis
Q5AVP8,1.1.1.284,Emericella nidulans
Q65EY9,2.7.1.56,Bacillus licheniformis
Q93MQ1,unknown,Campylobacter jejuni
Q8ZXM4,unknown,Pyrobaculum aerophilum
O59072,6.3.5.2,Pyrococcus horikoshii
Q7Z9M8,3.2.1.155,Hypocrea jecorina
Q2PCE3,3.2.1.20,Ferroplasma acidiphilum
A0A0U2RV57,3.2.1.39,Humicola insolens
Q5UFR5,4.6.1.1,Mycobacterium avium
A0A125YXL3,6.1.1.18,Toxoplasma gondii
P0ADI4,6.3.2.14,Escherichia coli
Q8RK01,7.4.2.8,Pseudomonas savastanoi pv. phaseolicola
Q1GY13,2.4.1.14,Methylobacillus flagellatus
Q57878,2.4.2.48,Methanocaldococcus jannaschii
Q59Q46,1.1.1.205,Candida albicans
S5Y7P9,unknown,Myxococcus fulvus
Q8E5N5,1.6.3.4,Streptococcus agalactiae serotype III
O74641,3.2.1.7,Aspergillus niger
G7H7Y1,unknown,Aspergillus oryzae
P9WK21,3.4.11.18,Mycobacterium tuberculosis
A9J246,5.3.1.4,Lactiplantibacillus plantarum
Q7X0P2,unknown,Treponema pectinovorum
Q8TZY2,unknown,Pyrococcus furiosus
D1JH91,1.5.98.1,Uncultured archaeon
P11073,4.2.2.2,Dickeya chrysanthemi
E7DXB6,unknown,Paenibacillus woosongensis
Q74K42,2.4.1.9,Lactobacillus johnsonii
Q3IL66,3.1.2.12,Pseudoalteromonas translucida
Q6UN40,3.2.1.8,Thermochaetoides thermophila
O67646,6.1.1.4,Aquifex aeolicus
P00381,1.5.1.3,Lacticaseibacillus casei
A8C781,unknown,Azotobacter vinelandii
Q58980,2.2.1.11,Methanocaldococcus jannaschii
A8WBX8,unknown,Lactococcus lactis
I1REW2,1.13.11.45,Gibberella zeae
P9WIC6,3.1.3.85,Mycobacterium tuberculosis
Q9RF52,3.4.11.23,Salmonella typhimurium
D0U690,2.7.8.32,Cryptococcus neoformans var. grubii
Q5JDJ1,4.2.1.20,Thermococcus kodakarensis
H0HC94,unknown,unknown
Q88S87,4.1.2.-,Lactiplantibacillus plantarum
Q52MQ5,2.7.1.105,Trypanosoma brucei brucei
E7FKF4,unknown,Pseudoalteromonas tetraodonis
A0A2P5JUT5,unknown,unknown
C6WXA3,unknown,Methylotenera mobilis
Q5JDG9,2.7.1.212,Thermococcus kodakarensis
P23971,6.2.1.26,Bacillus subtilis
A2V7M5,2.3.1.5,Streptomyces griseus
W8CQB1,1.2.7.1,Thermococcus guaymasensis
Q9UXR8,1.2.1.70,Methanopyrus kandleri
A0A023J5W7,3.2.1.37,Aspergillus niger
C6XY24,unknown,Pedobacter heparinus
Q0KB75,unknown,Cupriavidus necator
F9UMI7,unknown,Lactiplantibacillus plantarum
Q5SI82,3.4.24.-,Thermus thermophilus
Q76LT2,unknown,Microlunatus phosphovorus
H9BZ70,3.2.1.73,Rhizomucor miehei
Q00441,1.14.15.35,Saccharopolyspora erythraea
Q46VA0,1.4.1.21,Cupriavidus pinatubonensis
A9CK16,3.5.4.33,Agrobacterium fabrum
P09979,2.7.1.119,Streptomyces hygroscopicus
Q9Z7D3,3.2.2.27,Chlamydia pneumoniae
Q8IKP7,4.1.3.38,Plasmodium falciparum
A8BBP6,unknown,Giardia intestinalis
F0QXN6,unknown,Vulcanisaeta moutnovskia
Q58LW6,unknown,Gluconobacter oxydans
A9XED1,unknown,Moraxella catarrhalis
D1A9G5,3.1.1.101,Thermomonospora curvata
A9V766,1.13.11.11,Monosiga brevicollis
Q8PYS1,2.5.1.81,Methanosarcina mazei
Q977X9,unknown,Thermococcus waiotapuensis
A8CBH8,2.5.1.61,Plasmodium falciparum
Q9YET5,3.1.26.4,Aeropyrum pernix
H1X7X9,unknown,unknown
Q81R98,unknown,Bacillus anthracis
A1S3N8,unknown,Shewanella amazonensis
Q8DVH2,2.7.7.3,Streptococcus mutans serotype c
O67203,unknown,Aquifex aeolicus
X5F726,1.1.1.304,Bacillus licheniformis
A0A1L2BH72,unknown,Candida parapsilosis
A0A0F6TP16,2.4.1.5,Weissella confusa
X5DQW0,3.2.1.4,Trichoderma asperellum
Q56317,1.2.7.1,Thermotoga maritima
Q9KPJ7,2.7.7.65,Vibrio cholerae serotype O1
Q00XA5,unknown,Ostreococcus tauri
Q8KTW9,3.1.1.81,Bacillus thuringiensis subsp. kyushuensis
Q9I6D1,2.7.7.3,Pseudomonas aeruginosa
Q9Y7B6,2.1.2.11,Emericella nidulans
P51852,4.1.1.74,Azospirillum brasilense
P94368,4.2.1.136,Bacillus subtilis
V9NHA1,1.2.7.1,Pseudothermotoga hypogea
A8YPP2,unknown,Burkholderia glumae
B5BNY1,3.2.1.4,Staphylotrichum coccosporum
Q81ZH5,6.3.2.6,Bacillus anthracis
P80655,2.1.1.86,Methanosarcina mazei
Q7LXU6,2.7.8.39,Saccharolobus solfataricus
Q97W53,unknown,Saccharolobus solfataricus
O54003,2.7.7.31,Pyrococcus abyssi
O27970,2.1.1.63,Archaeoglobus fulgidus
B1YMN6,2.4.1.5,Exiguobacterium sibiricum
Q82K30,unknown,Streptomyces avermitilis
O05510,2.7.1.4,Bacillus subtilis
C7EXL6,4.2.2.8,Bacteroides stercoris
P97207,1.8.5.2,Acidianus ambivalens
B2ZAA4,1.1.1.42,Streptomyces lividans
P0C1A2,4.2.2.2,Dickeya chrysanthemi
Q6L0S1,1.1.1.1,Picrophilus torridus
G8YXZ9,3.12.1.-,Acidianus ambivalens
P53632,2.7.7.19,Saccharomyces cerevisiae
B2KJ46,1.1.1.-,Candida parapsilosis
P71079,1.3.1.104,Bacillus subtilis
P13717,3.1.30.2,Serratia marcescens
Q9HLX1,2.7.4.26,Thermoplasma acidophilum
Q8EEB0,1.1.3.48,Shewanella oneidensis
O66223,unknown,Porphyromonas gingivalis
Q07635,2.7.7.7,Saccharolobus solfataricus
Q5QKF8,2.2.1.7,Rhizobium radiobacter
Q3YAW3,unknown,Pseudomonas fluorescens
Q9I5I6,1.1.1.387,Pseudomonas aeruginosa
Q976G4,6.5.1.1,Sulfurisphaera tokodaii
M2Y1U7,2.4.1.15,Galdieria sulphuraria
Q81IH1,5.6.2.1,Bacillus cereus
O66914,2.7.7.38,Aquifex aeolicus
Q02890,3.5.1.52,Saccharomyces cerevisiae
Q9WZZ1,1.1.1.267,Thermotoga maritima
D8X180,unknown,Bacillus subtilis
E7EKB8,1.1.1.4,Paenibacillus polymyxa
A7TVD4,3.2.1.8,Streptomyces fradiae
H8WR05,2.6.1.-,Variovorax paradoxus
Q08KN3,3.2.1.23,Arthrobacter psychrolactophilus
Q3IEB7,6.3.2.2,Pseudoalteromonas translucida
O86169,2.1.1.163,Geobacillus stearothermophilus
Q9HH76,2.5.1.89,Sulfolobus acidocaldarius
A0A0H2YSJ7,3.5.1.28,Clostridium perfringens
O54050,1.1.1.204,Rhodobacter capsulatus
B1M5C5,3.5.99.7,Methylobacterium radiotolerans
D5LIR7,unknown,Cryphonectria parasitica
Q8RJA0,3.1.1.81,Bacillus thuringiensis
X5CPN2,unknown,Shouchella lehensis G1
Q8TWU6,3.5.4.35,Methanopyrus kandleri
P27306,1.6.1.1,Escherichia coli
Q0ZR36,unknown,Aspergillus niger
Q9UXF6,unknown,Saccharolobus solfataricus
D2Z028,2.3.1.30,Streptomyces lavendulae
Q5V9S1,unknown,Vibrio fluvialis
Q8DT64,2.7.13.3,Streptococcus mutans serotype c
Q65L63,3.2.1.99,Bacillus licheniformis
W0KM71,unknown,Nocardiopsis alba
Q0E4W0,2.2.1.2,Blastobotrys adeninivorans
O30438,7.4.2.8,Yersinia enterocolitica
Q9Y7X5,5.1.3.2,Schizosaccharomyces pombe
I7LW01,unknown,Tetrahymena thermophila
Q71E77,3.4.24.-,Bacillus amyloliquefaciens
B8YIE0,3.1.1.72,Volvariella volvacea
P62426,unknown,Methanococcus maripaludis
P39476,unknown,Saccharolobus solfataricus
Q4H2B4,unknown,Phanerodontia chrysosporium
A0A090IMH4,unknown,Moritella viscosa
D0VX20,5.4.99.11,Serratia plymuthica
Q58037,6.3.2.33,Methanocaldococcus jannaschii
W5ZNX7,3.2.1.39,Phanerodontia chrysosporium
A4I1T8,6.3.1.8,Leishmania infantum
Q1M0P5,2.5.1.48,Helicobacter pylori
A3MVR8,unknown,Pyrobaculum calidifontis
Q6Y656,unknown,Trypanosoma cruzi
P44805,2.7.7.3,Haemophilus influenzae
Q0IJR6,3.2.1.78,Niallia circulans
P9WJ93,unknown,Mycobacterium tuberculosis
G3JWZ2,3.1.1.1,Geobacillus thermodenitrificans
S5M3K7,1.5.1.3,Leishmania panamensis
B6ZIV1,unknown,Nostoc punctiforme
A9XE63,3.2.1.28,Metarhizium anisopliae
A1S0B1,unknown,Thermofilum pendens
Q2VPS1,unknown,Palaeococcus ferrophilus
P80654,2.1.1.86,Methanosarcina mazei
Q3IFA2,6.3.2.3,Pseudoalteromonas translucida
O28511,unknown,Archaeoglobus fulgidus
I6Y2G3,unknown,Mycobacterium tuberculosis
P26937,3.4.24.-,Bacillus subtilis
P9WK19,3.4.11.18,Mycobacterium tuberculosis
Q9K169,2.5.1.54,Neisseria meningitidis serogroup B
D0UHB3,3.2.1.78,Bacillus licheniformis
P48424,unknown,Thermoplasma acidophilum
P38793,2.1.1.228,Saccharomyces cerevisiae
A7LKB0,3.5.3.6,Pseudomonas plecoglossicida
B1A4C4,unknown,Malbranchea aurantiaca
C8WGQ3,1.1.1.-,Eggerthella lenta
P04959,4.2.2.2,Dickeya chrysanthemi
P17118,3.4.23.42,Sulfolobus acidocaldarius
B5BLW5,3.1.1.2,Saccharolobus solfataricus
C6Y0D8,unknown,Pedobacter heparinus
A0A0H4SN47,unknown,Ogataea glucozyma
Q5JIZ8,6.3.2.36,Thermococcus kodakarensis
P23495,5.3.1.26,Lactococcus lactis subsp. lactis
A7LCN3,unknown,Glutamicibacter nicotianae
A5IL97,3.2.1.21,Thermotoga petrophila
P04830,2.4.1.19,Paenibacillus macerans
Q6UV28,unknown,Streptomyces violaceoruber
P37025,3.1.4.58,Escherichia coli
O29794,unknown,Archaeoglobus fulgidus
I2D0K8,unknown,Pseudomonas putida
F9VMI9,1.1.1.1,Sulfurisphaera tokodaii
A9QXB4,unknown,Persephonella marina
Q5KR04,unknown,Selenomonas ruminantium
M9QJD2,1.15.1.1,Thermus filiformis
Q9I1X3,unknown,Pseudomonas aeruginosa
Q8VP44,2.4.1.20,Acetivibrio thermocellus
Q97U94,3.2.1.22,Saccharolobus solfataricus
Q5SJ85,3.5.3.24,Thermus thermophilus
D2SZY5,unknown,Acetobacter pasteurianus
Q7WUI5,5.4.99.16,Thermus thermophilus
A0A0N9HMW6,6.3.4.20,Geobacillus kaustophilus NBRC 102445
B1B533,3.2.1.8,Penicillium citrinum
P44886,3.1.2.-,Haemophilus influenzae
I7MAL0,unknown,Tetrahymena thermophila
B5L363,3.5.2.5,Pseudomonas fluorescens
A1YQE2,3.2.1.28,Beauveria bassiana
A4ZV25,unknown,Acidithiobacillus caldus
Q8U1P6,4.1.1.11,Pyrococcus furiosus
P10725,5.1.1.1,Bacillus subtilis
I7H6W6,2.1.2.1,Aphanothece halophytica
Q9P8F7,3.1.1.3,Yarrowia lipolytica
Q9KHJ9,unknown,Streptomyces maritimus
Q79FV4,2.8.5.1,Mycobacterium tuberculosis
B2RKU0,3.4.22.37,Porphyromonas gingivalis
Q9WYD4,unknown,Thermotoga maritima
P42094,3.1.3.8,Bacillus subtilis
D4GS06,2.3.3.16,Haloferax volcanii
Q6PY95,2.7.1.105,Trypanosoma brucei
E9LVH9,3.1.1.74,Thermobifida cellulosilytica
Q02896,3.5.1.-,Saccharomyces cerevisiae
D7WPP7,unknown,unknown
Q56DL0,1.1.3.6,Arthrobacter sp. F2
Q02497,1.10.3.2,Trametes hirsuta
Q04212,1.1.1.116,Saccharomyces cerevisiae
I3QNS8,unknown,Bifidobacterium animalis subsp. animalis
Q9C1V4,3.2.1.3,Talaromyces emersonii
M4MBM1,unknown,Streptomyces lavendulae
Q9UUB1,2.5.1.78,Schizosaccharomyces pombe
P49017,2.1.1.201,Saccharomyces cerevisiae
A6G7B1,unknown,Plesiocystis pacifica SIR-1
G0TES6,3.2.1.55,Pleurotus sp. 'Florida'
F8G0M4,1.14.13.163,Pseudomonas putida
P0A7Y4,3.1.26.4,Escherichia coli
Q257D4,2.5.1.21,Leishmania donovani
Q88GF6,1.1.1.-,Pseudomonas putida
Q4ZV08,3.5.1.97,Pseudomonas syringae pv. syringae
Q53728,3.1.4.4,Streptomyces antibioticus
P09169,3.4.23.49,Escherichia coli
Q003Y3,3.1.3.26,Citrobacter amalonaticus
Q8U0Z8,1.12.7.2,Pyrococcus furiosus
Q9P9H4,5.2.1.8,Halobacterium salinarum
B8YPW8,3.8.1.5,Ancylobacter aquaticus
A0A0H4K9X4,3.2.1.4,Thermothelomyces thermophilus
Q6Y0Z3,1.1.1.307,Candida parapsilosis
C8KIP3,unknown,Entamoeba histolytica
Q72JY1,2.7.4.1,Thermus thermophilus
O05268,1.18.1.2,Bacillus subtilis
Q9X5C9,1.1.1.-,Corynebacterium glutamicum
O35010,3.4.14.13,Bacillus subtilis
Q7S3U4,unknown,Neurospora crassa
B9A1J7,unknown,Evansella clarkii
Q97YX7,unknown,Saccharolobus solfataricus
P20971,2.7.2.3,Methanothermus fervidus
L7Z147,2.3.2.2,Pseudomonas fluorescens
P21130,2.4.1.10,Bacillus amyloliquefaciens
Q6F494,4.1.1.32,Thermococcus kodakarensis
Q9GRT1,2.7.12.2,Leishmania mexicana
G3XCK6,4.1.3.27,Pseudomonas aeruginosa
A1KU15,1.1.1.205,Neisseria meningitidis serogroup C / serotype 2a
Q731C9,1.4.1.9,Bacillus cereus
Q2HWU5,unknown,Streptococcus mutans
P84193,4.2.1.110,Phanerodontia chrysosporium
Q81LA8,5.1.1.3,Bacillus anthracis
D5LNE5,5.3.1.14,Thermoanaerobacterium saccharolyticum
Q0MVP2,3.1.1.3,Serratia marcescens
E3W9G3,unknown,Microbulbifer thermotolerans
Q57430,2.7.7.33,Yersinia pseudotuberculosis
Q5NTE5,unknown,Sphingomonas paucimobilis
Q88Q83,1.4.3.19,Pseudomonas putida
Q8J0S3,3.5.1.49,Paracoccidioides brasiliensis
Q8ILT0,unknown,Plasmodium falciparum
Q01172,4.2.2.10,Aspergillus niger
Q8A711,unknown,Bacteroides thetaiotaomicron
Q9X584,3.2.1.8,Streptomyces avermitilis
H5ZXI0,2.2.1.7,Botryococcus braunii
C9W9E3,unknown,Acetobacter pasteurianus NBRC 101655
P57706,2.1.1.216,Thermoplasma acidophilum
Q8DNE6,2.7.7.3,Streptococcus pneumoniae
Q4JQJ3,4.2.1.108,Methylotuvimicrobium alcaliphilum
K7T9D9,3.2.1.37,Phanerodontia chrysosporium
Q6XNK6,unknown,Pantoea dispersa
Q7ZA57,3.2.1.8,Gibberella zeae
A3MWU9,1.1.1.37,Pyrobaculum calidifontis
Q9UWR5,unknown,Pyrobaculum islandicum
P25397,2.1.1.265,Escherichia coli
G0S3N2,unknown,Chaetomium thermophilum
P0DOW0,1.1.1.401,Sulfobacillus thermosulfidooxidans
Q2V982,unknown,Entamoeba invadens
Q5JGF8,unknown,Thermococcus kodakarensis
P95231,2.3.1.30,Mycobacterium tuberculosis
Q5JDJ7,2.4.1.18,Thermococcus kodakarensis
Q8DMA8,2.7.4.1,Thermosynechococcus vestitus
A0A0J9X283,1.1.1.169,Staphylococcus aureus
Q8A8Y4,2.4.1.320,Bacteroides thetaiotaomicron
Q5B7X2,3.2.1.78,Emericella nidulans
F2X2F9,3.1.1.72,Chrysosporium lucknowense
A0JC76,4.1.99.20,Streptomyces griseus
B4X9S4,3.1.3.26,Yersinia rohdei
O59570,3.6.1.1,Pyrococcus horikoshii
Q03217,3.5.5.7,Rhodococcus rhodochrous
Q9I0K4,4.1.3.1,Pseudomonas aeruginosa
Q88M11,3.1.3.105,Pseudomonas putida
Q5S260,3.5.1.77,Ensifer adhaerens
Q8VLQ7,4.2.2.1,Streptococcus suis
Q57236,unknown,Clostridium botulinum
F8WPI4,3.2.1.75,Lentinula edodes
P07913,1.1.1.103,Escherichia coli
P75713,3.5.3.26,Escherichia coli
Q3T552,3.2.1.97,Bifidobacterium longum subsp. longum
Q1JU61,4.1.1.22,Photobacterium phosphoreum
B0NGC5,5.1.3.30,Clostridium scindens
Q6H8X6,unknown,Streptococcus suis
S5RVR8,unknown,Trametes sanguinea
O30126,6.1.1.27,Archaeoglobus fulgidus
Q76EV4,4.8.1.2,Rhodococcus globerulus
Q9I0Q0,1.14.13.182,Pseudomonas aeruginosa
H6WSA2,unknown,Limosilactobacillus fermentum
K7XFI7,3.2.1.73,Bacillus altitudinis
Q9RFR0,2.4.1.269,Rhodothermus marinus
Q9LCT3,7.4.2.8,Pseudomonas aeruginosa
H1AE12,3.2.1.45,Cryptococcus neoformans var. grubii serotype A
P06547,3.2.1.2,Niallia circulans
Q8KTW4,3.1.1.81,Bacillus thuringiensis subsp. tolworthi
P60780,3.1.26.5,Methanococcus maripaludis
A0A099D4T8,unknown,Actinopolyspora erythraea
O58698,6.1.1.4,Pyrococcus horikoshii
P72145,unknown,Pseudomonas aeruginosa
A0A059ZV61,2.4.1.13,Acidithiobacillus caldus
A0A0K2F2K4,2.5.1.21,Mortierella alpina
Q8MZR8,unknown,Entamoeba histolytica
Q4U331,1.5.1.21,Pseudomonas syringae pv. tomato
A5VEL7,unknown,unknown
A8AA25,5.3.3.3,Ignicoccus hospitalis
Q8GI16,unknown,Pseudomonas resinovorans
Q6R7Z5,unknown,Trypanosoma brucei
O29786,1.3.-.-,Archaeoglobus fulgidus
P49425,3.2.1.78,Rhodothermus marinus
B8CBW8,2.7.1.25,Thalassiosira pseudonana
K0J2A4,3.4.21.83,Stenotrophomonas maltophilia
P21833,3.2.1.4,Sclerotinia sclerotiorum
Q8U248,2.1.1.256,Pyrococcus furiosus
P54495,2.7.1.2,Bacillus subtilis
Q6H8W9,unknown,Streptococcus suis
O00089,3.2.1.37,Aspergillus niger
Q4JL88,3.1.1.3,Burkholderia cepacia
O42729,unknown,Trametes versicolor
Q6LA34,1.11.1.6,Pyrobaculum calidifontis
Q29Y55,2.7.7.7,Sulfophobococcus zilligii
P9WG41,2.2.1.6,Mycobacterium tuberculosis
E0D583,unknown,Aeribacillus pallidus
Q93Y52,3.6.1.1,Chlamydomonas reinhardtii
Q9HWS0,3.1.4.-,Pseudomonas aeruginosa
Q2HQR6,1.2.1.9,Clostridium sporogenes
Q58597,6.1.1.3,Methanocaldococcus jannaschii
Q9F1Y5,2.1.1.255,Streptomyces coelicolor
Q9WWW6,1.14.15.3,Pseudomonas putida
Q58517,2.7.7.62,Methanocaldococcus jannaschii
A0A168KIJ9,unknown,Talaromyces emersonii
B3Y018,unknown,Lactiplantibacillus plantarum
Q5EG61,unknown,Pseudomonas fluorescens
Q76L37,1.1.1.-,Candida parapsilosis
Q2XQ11,3.2.1.22,Bifidobacterium breve
Q9YEA1,1.1.1.299,Aeropyrum pernix
Q5JH87,unknown,Thermococcus kodakarensis
A0A0H3FYM1,unknown,Klebsiella aerogenes
T2M1V1,3.2.1.8,Cellulosimicrobium cellulans
P37794,3.5.1.105,Escherichia coli
Q8RL88,2.2.1.6,Geobacillus stearothermophilus
P25152,3.4.11.6,Bacillus subtilis
B1PHD2,unknown,Comamonas testosteroni
B9UNL6,2.4.1.5,Weissella cibaria
D3JV05,3.1.2.30,Cereibacter sphaeroides
Q96YZ3,2.7.1.165,Sulfurisphaera tokodaii
O50660,4.2.2.3,Azotobacter chroococcum mcd 1
I6TNE2,unknown,Weissella cibaria
A0A144KZJ7,1.10.3.2,Trametes versicolor
Q8PC56,2.7.7.6,Xanthomonas campestris pv. campestris
Q4A9M4,3.4.11.1,Mesomycoplasma hyopneumoniae
P17618,unknown,Bacillus subtilis
O29269,unknown,Archaeoglobus fulgidus
Q9LAJ2,unknown,Clostridium cellulovorans
P16467,4.1.1.-,Saccharomyces cerevisiae
G2QDN2,3.2.1.21,Thermothelomyces thermophilus
Q9AHJ8,3.2.1.31,Lactobacillus gasseri
Q8U2A4,2.2.1.6,Pyrococcus furiosus
F2L0W0,2.6.1.42,Thermoproteus uzoniensis
Q52UN2,unknown,Bifidobacterium adolescentis
Q9I4W3,4.3.3.7,Pseudomonas aeruginosa
Q6T9Z6,3.1.3.8,Aspergillus niger
Q8GCU7,3.5.2.6,Pseudomonas putida
Q2HPP6,3.5.1.11,Bacillus subtilis
D7VBA0,5.1.1.3,Lactiplantibacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437
P0A4E1,2.7.1.2,Streptomyces coelicolor
P9WJA1,1.14.14.12,Mycobacterium tuberculosis
P12282,2.7.7.80,Escherichia coli
Q3ZMA8,3.2.1.4,Cellulomonas flavigena
S8GJB1,2.3.1.43,Toxoplasma gondii
Q6H8Y1,unknown,Streptococcus suis
Q5Z1T5,1.14.13.59,Nocardia farcinica
A7M022,unknown,unknown
P0CW04,2.7.2.1,Methanosarcina mazei
Q9P4D8,5.4.99.5,Pichia angusta
P09152,1.7.5.1,Escherichia coli
Q6F936,unknown,Acinetobacter baylyi
A7Y9V0,2.7.7.42,Azospirillum brasilense
Q9HIA7,unknown,Thermoplasma acidophilum
P31658,3.1.2.-,Escherichia coli
Q93KD6,unknown,Peptoclostridium acidaminophilum
Q8NKS5,unknown,Thermococcus kodakarensis
P32440,1.12.98.2,Methanothermobacter marburgensis
B1HP60,2.7.4.1,Lysinibacillus sphaericus
Q2TFW1,3.1.1.-,Ophiostoma piceae
Q8NK65,4.1.1.1,Rhizopus oryzae
P9WH11,5.1.3.13,Mycobacterium tuberculosis
P80951,1.5.1.40,Methanogenium organophilum
Q87EL2,2.7.2.8,Xylella fastidiosa
Q0QLE6,5.3.3.6,Eubacterium barkeri
O87082,1.14.13.69,Xanthobacter autotrophicus
Q8J2N2,3.4.11.-,Aspergillus sojae
C7G3B7,unknown,Acetobacter pasteurianus
W0A856,1.1.1.22,Sphingomonas sanxanigenens DSM 19645 = NX02
D8IS59,6.3.5.1,Herbaspirillum seropedicae
Q0GE18,4.1.1.15,Streptococcus thermophilus
M1WA41,2.5.1.34,Claviceps purpurea
I6Z823,unknown,Melioribacter roseus
L0CM48,unknown,Bifidobacterium pseudolongum
A9BEU2,2.4.1.268,Petrotoga mobilis
Q93I77,2.5.1.-,Thermus thermophilus
P94494,5.1.1.1,Bacillus subtilis
P52700,3.5.2.6,Stenotrophomonas maltophilia
A0A059Q746,2.4.1.18,Rhizomucor miehei
O50325,4.2.2.2,Dickeya chrysanthemi
Q8KBP5,1.16.3.2,Chlorobaculum tepidum
Q4W941,1.-.-.-,Aspergillus fumigatus
I7A3T6,2.4.1.13,Melioribacter roseus
Q9X6R4,3.4.21.26,Aeromonas caviae
B1B5E3,1.7.1.3,Fusarium oxysporum
P9WPX7,4.2.1.10,Mycobacterium tuberculosis
I7FWY1,2.7.11.-,Botryotinia fuckeliana
Q9YBF1,4.6.1.16,Aeropyrum pernix
C4M387,2.7.-.-,Entamoeba histolytica
Q58936,3.5.4.41,Methanocaldococcus jannaschii
O05651,1.2.7.1,Thermotoga maritima
Q9RN49,unknown,Mycolicibacterium smegmatis
Q81PT0,unknown,Bacillus anthracis
Q1XGD4,unknown,Flammulina velutipes
Q6L2X4,3.2.1.20,Picrophilus torridus
T2A6Y2,3.5.2.6,Klebsiella pneumoniae subsp. pneumoniae
A0A068FNL1,3.1.1.73,Aspergillus terreus
A5FBI1,3.2.1.20,Flavobacterium johnsoniae
P0A8Z0,3.1.2.-,Escherichia coli
H9ZGN0,1.1.1.1,Ogataea parapolymorpha
Q8GGV4,2.4.1.10,Limosilactobacillus reuteri
Q6WSQ4,unknown,Rhodothermus marinus
C4MH58,2.4.1.19,Niallia circulans
B2ZFM0,unknown,Bacillus pumilus
P51979,3.6.4.12,Saccharomyces cerevisiae
O67501,3.6.1.1,Aquifex aeolicus
P76558,1.1.1.40,Escherichia coli
A0A0M4S9Q1,1.1.1.42,Campylobacter curvus
Q4J6E1,unknown,Sulfolobus acidocaldarius
Q43998,2.4.1.10,Gluconacetobacter diazotrophicus
Q5JI38,3.5.3.24,Thermococcus kodakarensis
Q58185,3.5.4.39,Methanocaldococcus jannaschii
H6WCP4,1.1.1.12,Aspergillus tubingensis
Q9I6K2,3.5.3.17,Pseudomonas aeruginosa
P18644,2.1.1.230,Streptomyces azureus
Q9S434,2.7.13.3,Myxococcus xanthus
Q6KYX5,3.2.1.3,Picrophilus torridus
P96105,3.2.1.131,Thermotoga maritima
G4I5P8,unknown,unknown
A0A1B2F298,1.1.1.49,Pseudomonas putida
Q3ACV3,unknown,Carboxydothermus hydrogenoformans
G9M5R4,unknown,Lentinula edodes
A9XED3,unknown,Moraxella catarrhalis
G2QXZ9,3.2.1.-,Thermothielavioides terrestris
B7J8J0,1.2.1.70,Acidithiobacillus ferrooxidans
C8WMP0,1.1.1.-,Eggerthella lenta
B6YX36,3.1.3.3,Thermococcus onnurineus
Q88S84,5.3.1.4,Lactiplantibacillus plantarum
P74918,2.7.7.7,Thermococcus fumicolans
P44862,4.2.1.126,Haemophilus influenzae
O08349,1.1.1.37,Archaeoglobus fulgidus
Q9X2I8,6.1.1.17,Thermotoga maritima
P44443,3.1.26.12,Haemophilus influenzae
Q5CXD0,unknown,Cryptosporidium parvum
A4XHV7,5.3.1.14,Caldicellulosiruptor saccharolyticus
H5ZXI1,2.2.1.7,Botryococcus braunii
P9WMY3,2.4.1.289,Mycobacterium tuberculosis
P16497,2.7.13.3,Bacillus subtilis
Q82P90,3.2.1.55,Streptomyces avermitilis
Q56F26,3.2.1.165,Amycolatopsis orientalis
F8S123,1.1.1.1,Thermococcus guaymasensis
O28046,3.6.1.66,Archaeoglobus fulgidus
Q7ZAH1,2.7.1.1,Thermoproteus tenax
Q8RQD1,unknown,Azospirillum brasilense
O50134,unknown,Pyrococcus horikoshii
Q9F0Q9,3.1.1.3,Staphylococcus xylosus
A0A0A0V7L5,3.2.1.131,Paenibacillus curdlanolyticus
Q820M5,2.4.1.13,Nitrosomonas europaea
Q53I75,2.4.1.19,Haloferax mediterranei
Q9CE95,3.2.1.14,Lactococcus lactis subsp. lactis
Q50402,unknown,Methylorubrum extorquens
Q8ZIE7,6.3.2.4,Yersinia pestis
